原作：高橋弥七郎,イラスト：いとうのいぢ,声優：釘宮理恵,7000,0
原作：川原 礫,イラスト：ａｂｅｃ,声優：戸松 遥,7000,0
原作：川原 礫,イラスト：ａｂｅｃ,声優：松岡禎丞,7000,0
原作：鎌池和馬,イラスト：はいむらきよたか,声優：佐藤利奈,7000,0
原作：伏見つかさ,イラスト：かんざきひろ,声優：竹達彩奈,7000,0
原作：川原 礫,イラスト：ＨＩＭＡ,声優：三澤紗千香,7000,0
原作：竹宮ゆゆこ,イラスト：ヤス,声優：釘宮理恵,7000,0
原作：神崎紫電,イラスト：鵜飼沙樹,声優：梶 裕貴,7000,0
原作：三雲岳斗,イラスト：マニャ子,声優：種田梨沙,7000,0
原作：佐島 勤,イラスト：石田可奈,声優：早見沙織,7000,0
原作：蒼山サグ,イラスト：てぃんくる,声優：花澤香菜,7000,0
原作：成田良悟,イラスト：ヤスダスズヒト,声優：小野大輔,7000,0
ダミー,ダミー,ダミー,0,0
,イラスト：巖本英利,声優：三木眞一郎,7000,0
,イラスト：本庄雷太,声優：大原さやか,7000,0
原作：和ヶ原聡司,イラスト：０２９,声優：日笠陽子,7000,0
原作：鎌池和馬,イラスト：凪良,声優：花江夏樹,7000,0
原作：佐島 勤,イラスト：石田可奈,声優：中村悠一,7000,0
原作：川原 礫,イラスト：ａｂｅｃ,声優：悠木 碧,7000,1
原作：鎌池和馬,イラスト：はいむらきよたか,声優：新井里美,7000,0
原作：聴猫芝居,イラスト：Ｈｉｓａｓｉ,声優：日高里菜,7000,2
